family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,reference_microseconds,indexed_microseconds,sweep_microseconds,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
C,hole-heavy,2,12,2,8,16,2,16,2,2,0,4,0,35,24,22,28,16,40,40,2,true,true,true,true,true,192,0,16,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,10,0,0,2520,2520,2520,"{""polygon_arrangement"":0,""polygon_prepared_context"":2520}","{""polygon_arrangement"":133,""polygon_prepared_context"":2520}","{""polygon_arrangement"":133,""polygon_prepared_context"":2520}",verified,
D,completion-heavy,2,36,0,16,16,8,16,8,0,4,8,0,178,67,72,120,16,104,104,8,true,true,true,true,true,576,0,16,0,0,0,0,0,0,10,0,176,0,8,0,8,0,0,30,0,0,7480,7480,7480,"{""polygon_arrangement"":0,""polygon_prepared_context"":7480}","{""polygon_arrangement"":421,""polygon_prepared_context"":7480}","{""polygon_arrangement"":421,""polygon_prepared_context"":7480}",verified,
E,arrangement-heavy,2,20,0,8,4,0,4,1,0,0,8,0,73,36,35,28,4,56,56,0,true,true,true,true,true,80,0,4,0,0,0,0,0,0,10,0,0,0,8,0,8,0,0,30,0,0,4376,4376,4376,"{""polygon_arrangement"":0,""polygon_prepared_context"":4376}","{""polygon_arrangement"":277,""polygon_prepared_context"":4376}","{""polygon_arrangement"":277,""polygon_prepared_context"":4376}",verified,
F,huge-coordinate,2,36,0,16,16,8,16,8,0,4,8,0,162,51,59,120,16,104,104,8,true,true,true,true,true,576,0,16,0,0,0,0,0,0,10,0,176,0,8,0,8,0,0,30,0,0,7480,7480,7480,"{""polygon_arrangement"":0,""polygon_prepared_context"":7480}","{""polygon_arrangement"":421,""polygon_prepared_context"":7480}","{""polygon_arrangement"":421,""polygon_prepared_context"":7480}",verified,
G,clean-path-tree,2,36,0,16,16,8,16,8,0,4,8,0,163,52,55,120,16,104,104,8,true,true,true,true,true,576,0,16,0,0,0,0,0,0,10,0,176,0,8,0,8,0,0,30,0,0,7480,7480,7480,"{""polygon_arrangement"":0,""polygon_prepared_context"":7480}","{""polygon_arrangement"":421,""polygon_prepared_context"":7480}","{""polygon_arrangement"":421,""polygon_prepared_context"":7480}",verified,
H,non-clean-fallback,2,12,2,8,12,1,12,1,1,0,6,0,39,28,27,28,12,40,40,1,true,true,true,true,true,144,0,12,0,0,0,0,0,0,8,0,0,0,6,0,6,0,0,12,0,0,2640,2640,2640,"{""polygon_arrangement"":0,""polygon_prepared_context"":2640}","{""polygon_arrangement"":157,""polygon_prepared_context"":2640}","{""polygon_arrangement"":157,""polygon_prepared_context"":2640}",verified,
A,boundary-heavy,4,20,0,8,4,0,4,1,0,0,8,0,67,29,31,28,4,56,56,0,true,true,true,true,true,80,0,4,0,0,0,0,0,0,10,0,0,0,8,0,8,0,0,30,0,0,4376,4376,4376,"{""polygon_arrangement"":0,""polygon_prepared_context"":4376}","{""polygon_arrangement"":277,""polygon_prepared_context"":4376}","{""polygon_arrangement"":277,""polygon_prepared_context"":4376}",verified,
B,aligned-reflex-heavy,4,68,0,32,128,28,128,28,0,14,4,0,379,135,150,496,128,200,200,28,true,true,true,true,true,8704,0,128,0,0,0,0,0,0,6,0,196,0,4,0,4,0,0,38,0,0,13576,13576,13576,"{""polygon_arrangement"":0,""polygon_prepared_context"":13576}","{""polygon_arrangement"":577,""polygon_prepared_context"":13576}","{""polygon_arrangement"":577,""polygon_prepared_context"":13576}",verified,
C,hole-heavy,4,20,4,16,64,6,64,6,6,0,4,0,68,38,46,120,64,72,72,6,true,true,true,true,true,1280,0,64,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,14,0,0,4296,4296,4296,"{""polygon_arrangement"":0,""polygon_prepared_context"":4296}","{""polygon_arrangement"":205,""polygon_prepared_context"":4296}","{""polygon_arrangement"":205,""polygon_prepared_context"":4296}",verified,
D,completion-heavy,4,68,0,32,32,16,32,16,0,8,16,0,855,140,144,496,32,200,200,16,true,true,true,true,true,2176,0,32,0,0,0,0,0,0,18,0,1216,0,16,0,16,0,0,74,0,0,14328,14328,14328,"{""polygon_arrangement"":0,""polygon_prepared_context"":14328}","{""polygon_arrangement"":1189,""polygon_prepared_context"":14328}","{""polygon_arrangement"":1189,""polygon_prepared_context"":14328}",verified,
